ממוצע,שעה,תאריך
10/06/2025,02:00,50.34
10/06/2025,03:00,49.78
10/06/2025,04:00,49.79
10/06/2025,05:00,50.17
10/06/2025,06:00,50.25
10/06/2025,07:00,49.97
10/06/2025,08:00,50.15
10/06/2025,09:00,50.0
10/06/2025,10:00,49.82
10/06/2025,11:00,49.94
10/06/2025,12:00,50.36
10/06/2025,13:00,49.38
10/06/2025,14:00,49.9
10/06/2025,15:00,50.31
10/06/2025,16:00,49.93
10/06/2025,17:00,49.87
10/06/2025,18:00,50.03
10/06/2025,19:00,49.91
10/06/2025,20:00,50.04
10/06/2025,21:00,50.21
10/06/2025,22:00,50.6
10/06/2025,23:00,50.62
11/06/2025,00:00,49.13
11/06/2025,01:00,50.04
11/06/2025,02:00,49.47
11/06/2025,03:00,49.97
11/06/2025,04:00,50.07
11/06/2025,05:00,50.39
11/06/2025,06:00,49.89
11/06/2025,07:00,50.45
11/06/2025,08:00,49.74
11/06/2025,09:00,50.15
11/06/2025,10:00,49.67
11/06/2025,11:00,49.72
11/06/2025,12:00,50.07
11/06/2025,13:00,50.06
11/06/2025,14:00,50.76
11/06/2025,15:00,50.11
11/06/2025,16:00,49.92
11/06/2025,17:00,49.79
11/06/2025,18:00,50.84
11/06/2025,19:00,50.55
11/06/2025,20:00,49.99
11/06/2025,21:00,50.07
11/06/2025,22:00,49.61
11/06/2025,23:00,50.21
12/06/2025,00:00,49.9
12/06/2025,01:00,49.74
12/06/2025,02:00,49.74
12/06/2025,03:00,49.86
12/06/2025,04:00,49.39
12/06/2025,05:00,49.18
12/06/2025,06:00,50.31
12/06/2025,07:00,49.16
12/06/2025,08:00,49.6
12/06/2025,09:00,50.07
12/06/2025,10:00,50.71
12/06/2025,11:00,50.15
12/06/2025,12:00,49.35
12/06/2025,13:00,50.13
12/06/2025,14:00,49.8
12/06/2025,15:00,49.9
12/06/2025,16:00,50.18
12/06/2025,17:00,50.21
12/06/2025,18:00,49.23
12/06/2025,19:00,49.86
12/06/2025,20:00,49.79
12/06/2025,21:00,50.19
12/06/2025,22:00,49.73
12/06/2025,23:00,49.34
13/06/2025,00:00,50.05
13/06/2025,01:00,50.17
13/06/2025,02:00,49.89
13/06/2025,03:00,50.11
13/06/2025,04:00,50.02
13/06/2025,05:00,49.97
13/06/2025,06:00,50.3
13/06/2025,07:00,49.58
13/06/2025,08:00,49.6
13/06/2025,09:00,50.55
13/06/2025,10:00,50.41
13/06/2025,11:00,50.03
13/06/2025,12:00,50.19
13/06/2025,13:00,50.37
13/06/2025,14:00,49.7
13/06/2025,15:00,49.69
13/06/2025,16:00,50.91
13/06/2025,17:00,49.69
13/06/2025,18:00,50.36
13/06/2025,19:00,50.44
13/06/2025,20:00,49.36
13/06/2025,21:00,50.05
13/06/2025,22:00,49.85
13/06/2025,23:00,49.29
14/06/2025,00:00,50.18
14/06/2025,01:00,50.14
14/06/2025,02:00,49.27
14/06/2025,03:00,50.15
14/06/2025,04:00,50.06
14/06/2025,05:00,49.38
14/06/2025,06:00,50.0
14/06/2025,07:00,50.76
14/06/2025,08:00,49.49
14/06/2025,09:00,50.3
14/06/2025,10:00,50.59
14/06/2025,11:00,49.65
14/06/2025,12:00,49.7
14/06/2025,13:00,50.2
14/06/2025,14:00,50.2
14/06/2025,15:00,49.52
14/06/2025,16:00,50.37
14/06/2025,17:00,49.81
14/06/2025,18:00,49.98
14/06/2025,19:00,49.89
14/06/2025,20:00,49.9
14/06/2025,21:00,50.14
14/06/2025,22:00,50.19
14/06/2025,23:00,50.18
15/06/2025,00:00,50.03
15/06/2025,01:00,49.52
15/06/2025,02:00,50.45
15/06/2025,03:00,49.17
15/06/2025,04:00,49.37
15/06/2025,05:00,50.31
15/06/2025,06:00,49.66
15/06/2025,07:00,49.6
15/06/2025,08:00,49.47
15/06/2025,09:00,50.07
15/06/2025,10:00,49.63
15/06/2025,11:00,50.68
15/06/2025,12:00,50.2
15/06/2025,13:00,50.38
15/06/2025,14:00,49.8
15/06/2025,15:00,50.19
15/06/2025,16:00,50.04
15/06/2025,17:00,51.0
15/06/2025,18:00,50.69
15/06/2025,19:00,50.36
15/06/2025,20:00,50.54
15/06/2025,21:00,49.83
15/06/2025,22:00,49.58
15/06/2025,23:00,49.86
16/06/2025,00:00,49.9
16/06/2025,01:00,50.23
16/06/2025,02:00,49.95
16/06/2025,03:00,50.27
16/06/2025,04:00,50.66
16/06/2025,05:00,50.53
16/06/2025,06:00,50.32
16/06/2025,07:00,49.57
16/06/2025,08:00,50.13
16/06/2025,09:00,49.63
16/06/2025,10:00,50.86
16/06/2025,11:00,50.63
16/06/2025,12:00,49.26
16/06/2025,13:00,49.86
16/06/2025,14:00,50.39
16/06/2025,15:00,49.43
16/06/2025,16:00,50.28
16/06/2025,17:00,49.83
16/06/2025,18:00,50.43
16/06/2025,19:00,49.76
16/06/2025,20:00,49.96
16/06/2025,21:00,50.53
16/06/2025,22:00,50.45
16/06/2025,23:00,49.87
17/06/2025,00:00,49.54
17/06/2025,01:00,49.95
17/06/2025,02:00,50.16
17/06/2025,03:00,49.59
17/06/2025,04:00,49.7
17/06/2025,05:00,50.52
17/06/2025,06:00,50.06
17/06/2025,07:00,49.85
17/06/2025,08:00,49.46
17/06/2025,09:00,50.01
17/06/2025,10:00,50.3
17/06/2025,11:00,50.53
17/06/2025,12:00,49.29
17/06/2025,13:00,50.22
17/06/2025,14:00,49.82
17/06/2025,15:00,49.77
17/06/2025,16:00,50.41
17/06/2025,17:00,50.79
17/06/2025,18:00,49.77
17/06/2025,19:00,50.43
17/06/2025,20:00,50.16
17/06/2025,21:00,50.5
17/06/2025,22:00,50.06
17/06/2025,23:00,50.24
18/06/2025,00:00,49.86
18/06/2025,01:00,50.27
18/06/2025,02:00,49.67
18/06/2025,03:00,49.82
18/06/2025,04:00,50.54
18/06/2025,05:00,50.39
18/06/2025,06:00,50.4
18/06/2025,07:00,50.35
18/06/2025,08:00,50.31
18/06/2025,09:00,50.25
18/06/2025,10:00,49.93
18/06/2025,11:00,50.12
18/06/2025,12:00,49.85
18/06/2025,13:00,49.85
18/06/2025,14:00,49.83
18/06/2025,15:00,49.57
18/06/2025,16:00,50.46
18/06/2025,17:00,50.23
18/06/2025,18:00,50.16
18/06/2025,19:00,50.31
18/06/2025,20:00,50.19
18/06/2025,21:00,49.91
18/06/2025,22:00,49.97
18/06/2025,23:00,50.16
19/06/2025,00:00,50.91
19/06/2025,01:00,49.93
19/06/2025,02:00,49.39
19/06/2025,03:00,50.36
19/06/2025,04:00,50.22
19/06/2025,05:00,49.39
19/06/2025,06:00,49.71
19/06/2025,07:00,50.29
19/06/2025,08:00,50.81
19/06/2025,09:00,50.19
19/06/2025,10:00,49.63
19/06/2025,11:00,50.21
19/06/2025,12:00,49.75
19/06/2025,13:00,50.22
19/06/2025,14:00,49.39
19/06/2025,15:00,50.1
19/06/2025,16:00,49.73
19/06/2025,17:00,50.39
19/06/2025,18:00,50.47
19/06/2025,19:00,49.81
19/06/2025,20:00,50.47
19/06/2025,21:00,49.24
19/06/2025,22:00,50.51
19/06/2025,23:00,50.33
20/06/2025,00:00,49.79
20/06/2025,01:00,50.53
20/06/2025,02:00,49.67
20/06/2025,03:00,49.93
20/06/2025,04:00,50.32
20/06/2025,05:00,50.09
20/06/2025,06:00,50.21
20/06/2025,07:00,49.92
20/06/2025,08:00,50.22
20/06/2025,09:00,50.26
20/06/2025,10:00,49.79
20/06/2025,11:00,49.73
20/06/2025,12:00,50.39
20/06/2025,13:00,50.05
20/06/2025,14:00,50.07
20/06/2025,15:00,49.52
20/06/2025,16:00,50.04
20/06/2025,17:00,50.77
20/06/2025,18:00,50.16
20/06/2025,19:00,50.42
20/06/2025,20:00,49.52
20/06/2025,21:00,49.26
20/06/2025,22:00,50.6
20/06/2025,23:00,50.43
21/06/2025,00:00,49.95
21/06/2025,01:00,49.73
21/06/2025,02:00,50.42
21/06/2025,03:00,51.03
21/06/2025,04:00,50.37
21/06/2025,05:00,50.27
21/06/2025,06:00,50.36
21/06/2025,07:00,50.81
21/06/2025,08:00,50.45
21/06/2025,09:00,50.22
21/06/2025,10:00,49.72
21/06/2025,11:00,49.63
21/06/2025,12:00,50.02
21/06/2025,13:00,49.88
21/06/2025,14:00,50.47
21/06/2025,15:00,49.46
21/06/2025,16:00,50.03
21/06/2025,17:00,50.08
21/06/2025,18:00,50.16
21/06/2025,19:00,50.0
21/06/2025,20:00,49.67
21/06/2025,21:00,49.78
21/06/2025,22:00,50.05
21/06/2025,23:00,50.37
22/06/2025,00:00,49.54
22/06/2025,01:00,49.9
22/06/2025,02:00,49.45
22/06/2025,03:00,50.37
22/06/2025,04:00,50.34
22/06/2025,05:00,49.56
22/06/2025,06:00,49.61
22/06/2025,07:00,49.79
22/06/2025,08:00,50.39
22/06/2025,09:00,50.03
22/06/2025,10:00,50.27
22/06/2025,11:00,49.99
22/06/2025,12:00,49.82
22/06/2025,13:00,49.62
22/06/2025,14:00,50.08
22/06/2025,15:00,50.68
22/06/2025,16:00,49.85
22/06/2025,17:00,50.25
22/06/2025,18:00,50.09
22/06/2025,19:00,50.15
22/06/2025,20:00,50.32
22/06/2025,21:00,49.79
22/06/2025,22:00,50.22
22/06/2025,23:00,50.34
23/06/2025,00:00,49.43
23/06/2025,01:00,49.94
23/06/2025,02:00,50.52
23/06/2025,03:00,49.73
23/06/2025,04:00,48.64
23/06/2025,05:00,49.0
23/06/2025,06:00,50.62
23/06/2025,07:00,49.84
23/06/2025,08:00,49.98
23/06/2025,09:00,50.16
23/06/2025,10:00,49.66
23/06/2025,11:00,49.83
23/06/2025,12:00,50.0
23/06/2025,13:00,49.64
23/06/2025,14:00,50.32
23/06/2025,15:00,49.58
23/06/2025,16:00,50.86
23/06/2025,17:00,50.0
23/06/2025,18:00,50.14
23/06/2025,19:00,50.33
23/06/2025,20:00,49.98
23/06/2025,21:00,50.14
23/06/2025,22:00,50.41
23/06/2025,23:00,50.22
24/06/2025,00:00,49.7
24/06/2025,01:00,50.13
24/06/2025,02:00,50.2
24/06/2025,03:00,50.39
24/06/2025,04:00,49.4
24/06/2025,05:00,50.13
24/06/2025,06:00,50.06
24/06/2025,07:00,49.89
24/06/2025,08:00,49.24
24/06/2025,09:00,50.16
24/06/2025,10:00,50.25
24/06/2025,11:00,50.11
24/06/2025,12:00,49.32
24/06/2025,13:00,49.81
24/06/2025,14:00,50.01
24/06/2025,15:00,49.78
24/06/2025,16:00,50.02
24/06/2025,17:00,50.49
24/06/2025,18:00,49.96
24/06/2025,19:00,49.44
24/06/2025,20:00,49.95
24/06/2025,21:00,49.87
24/06/2025,22:00,49.88
24/06/2025,23:00,49.52
25/06/2025,00:00,50.03
25/06/2025,01:00,49.57
25/06/2025,02:00,49.88
25/06/2025,03:00,50.28
25/06/2025,04:00,49.46
25/06/2025,05:00,50.35
25/06/2025,06:00,50.0
25/06/2025,07:00,49.85
25/06/2025,08:00,50.14
25/06/2025,09:00,49.54
25/06/2025,10:00,50.63
25/06/2025,11:00,49.98
25/06/2025,12:00,48.98
25/06/2025,13:00,50.04
25/06/2025,14:00,49.63
25/06/2025,15:00,49.3
25/06/2025,16:00,49.53
25/06/2025,17:00,50.18
25/06/2025,18:00,49.63
25/06/2025,19:00,49.97
25/06/2025,20:00,49.86
25/06/2025,21:00,50.44
25/06/2025,22:00,50.5
25/06/2025,23:00,49.34
26/06/2025,00:00,49.93
26/06/2025,01:00,50.28
26/06/2025,02:00,49.82
26/06/2025,03:00,50.39
26/06/2025,04:00,50.14
26/06/2025,05:00,49.95
26/06/2025,06:00,50.19
26/06/2025,07:00,50.07
26/06/2025,08:00,49.62
26/06/2025,09:00,50.65
26/06/2025,10:00,50.2
26/06/2025,11:00,50.51
26/06/2025,12:00,50.03
26/06/2025,13:00,49.45
26/06/2025,14:00,50.1
26/06/2025,15:00,50.08
26/06/2025,16:00,50.05
26/06/2025,17:00,50.08
26/06/2025,18:00,50.21
26/06/2025,19:00,50.26
26/06/2025,20:00,49.88
26/06/2025,21:00,49.76
26/06/2025,22:00,49.92
26/06/2025,23:00,49.07
27/06/2025,00:00,49.54
27/06/2025,01:00,49.82
27/06/2025,02:00,49.6
27/06/2025,03:00,49.92
27/06/2025,04:00,50.16
27/06/2025,05:00,49.63
27/06/2025,06:00,49.72
27/06/2025,07:00,50.13
27/06/2025,08:00,49.94
27/06/2025,09:00,49.61
27/06/2025,10:00,50.2
27/06/2025,11:00,49.76
27/06/2025,12:00,49.9
27/06/2025,13:00,49.49
27/06/2025,14:00,50.0
27/06/2025,15:00,49.67
27/06/2025,16:00,49.37
27/06/2025,17:00,49.99
27/06/2025,18:00,50.14
27/06/2025,19:00,50.36
27/06/2025,20:00,49.95
27/06/2025,21:00,50.29
27/06/2025,22:00,49.55
27/06/2025,23:00,50.0
28/06/2025,00:00,50.54
28/06/2025,01:00,49.9
28/06/2025,02:00,49.78
28/06/2025,03:00,50.11
28/06/2025,04:00,49.89
28/06/2025,05:00,49.62
28/06/2025,06:00,50.24
28/06/2025,07:00,50.44
28/06/2025,08:00,50.02
28/06/2025,09:00,49.66
28/06/2025,10:00,49.75
28/06/2025,11:00,50.33
28/06/2025,12:00,50.03
28/06/2025,13:00,50.2
28/06/2025,14:00,49.93
28/06/2025,15:00,50.42
28/06/2025,16:00,50.57
28/06/2025,17:00,49.27
28/06/2025,18:00,49.79
28/06/2025,19:00,49.49
28/06/2025,20:00,50.07
28/06/2025,21:00,50.11
28/06/2025,22:00,50.2
28/06/2025,23:00,50.43
29/06/2025,00:00,50.03
29/06/2025,01:00,50.02
29/06/2025,02:00,50.28
29/06/2025,03:00,50.09
29/06/2025,04:00,50.58
29/06/2025,05:00,49.7
29/06/2025,06:00,50.04
29/06/2025,07:00,49.87
29/06/2025,08:00,49.25
29/06/2025,09:00,49.42
29/06/2025,10:00,49.41
29/06/2025,11:00,49.83
29/06/2025,12:00,50.04
29/06/2025,13:00,49.92
29/06/2025,14:00,50.05
29/06/2025,15:00,50.43
29/06/2025,16:00,50.51
29/06/2025,17:00,50.27
29/06/2025,18:00,49.83
29/06/2025,19:00,50.24
29/06/2025,20:00,49.96
29/06/2025,21:00,49.7
29/06/2025,22:00,49.82
29/06/2025,23:00,49.78
